case_seed,mode,status,success,direct_verified,included_count,included_sum,target,decision_steps,forced_steps,score_calls,planted
49,lookahead_LG_2,SOLUTION_FOUND,True,True,4,166,166,17,1,8775,4 7 9 13 16 17
49,lookahead_L_3,SOLUTION_FOUND,True,True,4,166,166,18,0,42153,4 7 9 13 16 17
49,lookahead_LG_3,SOLUTION_FOUND,True,True,4,166,166,16,2,41874,4 7 9 13 16 17
50,greedy_L,SOLUTION_FOUND,True,True,4,174,174,4,0,131,1 3 10 11 14 17
50,greedy_LG,SOLUTION_FOUND,True,True,4,174,174,4,14,131,1 3 10 11 14 17
50,lookahead_L_2,SOLUTION_FOUND,True,True,4,174,174,18,0,9042,1 3 10 11 14 17
50,lookahead_LG_2,SOLUTION_FOUND,True,True,4,174,174,17,1,9019,1 3 10 11 14 17
50,lookahead_L_3,SOLUTION_FOUND,True,True,4,174,174,18,0,42212,1 3 10 11 14 17
50,lookahead_LG_3,SOLUTION_FOUND,True,True,4,174,174,16,2,41985,1 3 10 11 14 17
51,greedy_L,FAILED_TO_FIND,False,False,5,207,208,18,0,342,0 6 8 11 12 17
51,greedy_LG,FAILED_TO_FIND,False,False,5,207,208,18,0,342,0 6 8 11 12 17
51,lookahead_L_2,SOLUTION_FOUND,True,True,6,208,208,18,0,9151,0 6 8 11 12 17
51,lookahead_LG_2,SOLUTION_FOUND,True,True,6,208,208,17,1,7866,0 6 8 11 12 17
51,lookahead_L_3,SOLUTION_FOUND,True,True,6,208,208,18,0,42132,0 6 8 11 12 17
51,lookahead_LG_3,SOLUTION_FOUND,True,True,6,208,208,16,2,42073,0 6 8 11 12 17
52,greedy_L,SOLUTION_FOUND,True,True,6,166,166,6,0,185,0 1 2 3 12 14
52,greedy_LG,SOLUTION_FOUND,True,True,6,166,166,6,12,185,0 1 2 3 12 14
52,lookahead_L_2,SOLUTION_FOUND,True,True,5,166,166,18,0,8933,0 1 2 3 12 14
52,lookahead_LG_2,SOLUTION_FOUND,True,True,5,166,166,17,1,8432,0 1 2 3 12 14
52,lookahead_L_3,SOLUTION_FOUND,True,True,5,166,166,18,0,42038,0 1 2 3 12 14
52,lookahead_LG_3,SOLUTION_FOUND,True,True,5,166,166,16,2,41869,0 1 2 3 12 14
53,greedy_L,SOLUTION_FOUND,True,True,4,165,165,4,0,131,0 1 3 5 8 15
53,greedy_LG,SOLUTION_FOUND,True,True,4,165,165,4,14,131,0 1 3 5 8 15
53,lookahead_L_2,SOLUTION_FOUND,True,True,4,165,165,18,0,9058,0 1 3 5 8 15
53,lookahead_LG_2,SOLUTION_FOUND,True,True,4,165,165,17,1,8285,0 1 3 5 8 15
53,lookahead_L_3,SOLUTION_FOUND,True,True,4,165,165,18,0,41750,0 1 3 5 8 15
53,lookahead_LG_3,SOLUTION_FOUND,True,True,4,165,165,16,2,41495,0 1 3 5 8 15
54,greedy_L,SOLUTION_FOUND,True,True,5,180,180,5,0,159,2 5 8 14 16 17
54,greedy_LG,SOLUTION_FOUND,True,True,5,180,180,5,13,159,2 5 8 14 16 17
54,lookahead_L_2,SOLUTION_FOUND,True,True,5,180,180,18,0,9101,2 5 8 14 16 17
54,lookahead_LG_2,SOLUTION_FOUND,True,True,5,180,180,17,1,8574,2 5 8 14 16 17
54,lookahead_L_3,SOLUTION_FOUND,True,True,5,180,180,18,0,41832,2 5 8 14 16 17
54,lookahead_LG_3,SOLUTION_FOUND,True,True,5,180,180,16,2,41715,2 5 8 14 16 17
55,greedy_L,FAILED_TO_FIND,False,False,4,174,175,18,0,342,8 10 12 13 16 17
55,greedy_LG,FAILED_TO_FIND,False,False,4,174,175,18,0,342,8 10 12 13 16 17
55,lookahead_L_2,SOLUTION_FOUND,True,True,5,175,175,18,0,9093,8 10 12 13 16 17
55,lookahead_LG_2,SOLUTION_FOUND,True,True,5,175,175,17,1,7368,8 10 12 13 16 17
55,lookahead_L_3,SOLUTION_FOUND,True,True,5,175,175,18,0,41872,8 10 12 13 16 17
55,lookahead_LG_3,SOLUTION_FOUND,True,True,5,175,175,16,2,41789,8 10 12 13 16 17
56,greedy_L,FAILED_TO_FIND,False,False,6,217,218,18,0,342,0 6 8 9 16 17
56,greedy_LG,FAILED_TO_FIND,False,False,6,217,218,18,0,342,0 6 8 9 16 17
56,lookahead_L_2,SOLUTION_FOUND,True,True,6,218,218,18,0,9135,0 6 8 9 16 17
56,lookahead_LG_2,SOLUTION_FOUND,True,True,6,218,218,17,1,8412,0 6 8 9 16 17
56,lookahead_L_3,SOLUTION_FOUND,True,True,6,218,218,18,0,42229,0 6 8 9 16 17
56,lookahead_LG_3,SOLUTION_FOUND,True,True,6,218,218,16,2,42112,0 6 8 9 16 17
57,greedy_L,SOLUTION_FOUND,True,True,5,191,191,5,0,159,1 10 11 12 16 17
57,greedy_LG,SOLUTION_FOUND,True,True,5,191,191,5,13,159,1 10 11 12 16 17
57,lookahead_L_2,SOLUTION_FOUND,True,True,5,191,191,18,0,9087,1 10 11 12 16 17
57,lookahead_LG_2,SOLUTION_FOUND,True,True,5,191,191,17,1,9082,1 10 11 12 16 17
57,lookahead_L_3,SOLUTION_FOUND,True,True,5,191,191,18,0,42291,1 10 11 12 16 17
57,lookahead_LG_3,SOLUTION_FOUND,True,True,5,191,191,16,2,42098,1 10 11 12 16 17
58,greedy_L,SOLUTION_FOUND,True,True,5,181,181,5,0,157,0 3 7 12 15 17
58,greedy_LG,SOLUTION_FOUND,True,True,5,181,181,5,13,157,0 3 7 12 15 17
58,lookahead_L_2,SOLUTION_FOUND,True,True,5,181,181,18,0,9073,0 3 7 12 15 17
58,lookahead_LG_2,SOLUTION_FOUND,True,True,5,181,181,17,1,9068,0 3 7 12 15 17
58,lookahead_L_3,SOLUTION_FOUND,True,True,5,181,181,18,0,42227,0 3 7 12 15 17
58,lookahead_LG_3,SOLUTION_FOUND,True,True,5,181,181,16,2,42120,0 3 7 12 15 17
59,greedy_L,SOLUTION_FOUND,True,True,4,138,138,4,0,131,1 5 8 10 14 17
59,greedy_LG,SOLUTION_FOUND,True,True,4,138,138,4,14,131,1 5 8 10 14 17
59,lookahead_L_2,SOLUTION_FOUND,True,True,4,138,138,18,0,9052,1 5 8 10 14 17
59,lookahead_LG_2,SOLUTION_FOUND,True,True,4,138,138,17,1,8405,1 5 8 10 14 17
59,lookahead_L_3,SOLUTION_FOUND,True,True,4,138,138,18,0,41229,1 5 8 10 14 17
59,lookahead_LG_3,SOLUTION_FOUND,True,True,4,138,138,16,2,41130,1 5 8 10 14 17
60,greedy_L,FAILED_TO_FIND,False,False,3,101,102,18,0,342,0 2 4 5 9 13
60,greedy_LG,FAILED_TO_FIND,False,False,3,101,102,18,0,342,0 2 4 5 9 13
60,lookahead_L_2,SOLUTION_FOUND,True,True,3,102,102,18,0,8958,0 2 4 5 9 13
60,lookahead_LG_2,SOLUTION_FOUND,True,True,3,102,102,17,1,8013,0 2 4 5 9 13
60,lookahead_L_3,SOLUTION_FOUND,True,True,3,102,102,18,0,42124,0 2 4 5 9 13
60,lookahead_LG_3,SOLUTION_FOUND,True,True,3,102,102,16,2,42041,0 2 4 5 9 13
61,greedy_L,SOLUTION_FOUND,True,True,4,143,143,4,0,131,0 2 5 10 15 16
61,greedy_LG,SOLUTION_FOUND,True,True,4,143,143,4,14,131,0 2 5 10 15 16
61,lookahead_L_2,SOLUTION_FOUND,True,True,4,143,143,18,0,9052,0 2 5 10 15 16
61,lookahead_LG_2,SOLUTION_FOUND,True,True,4,143,143,17,1,8865,0 2 5 10 15 16
61,lookahead_L_3,SOLUTION_FOUND,True,True,4,143,143,18,0,42134,0 2 5 10 15 16
61,lookahead_LG_3,SOLUTION_FOUND,True,True,4,143,143,16,2,41993,0 2 5 10 15 16
62,greedy_L,FAILED_TO_FIND,False,False,4,87,88,18,0,342,0 5 12 13 15 17
62,greedy_LG,FAILED_TO_FIND,False,False,4,87,88,18,0,342,0 5 12 13 15 17
62,lookahead_L_2,SOLUTION_FOUND,True,True,3,88,88,18,0,9006,0 5 12 13 15 17
62,lookahead_LG_2,SOLUTION_FOUND,True,True,3,88,88,17,1,6671,0 5 12 13 15 17
62,lookahead_L_3,SOLUTION_FOUND,True,True,3,88,88,18,0,42071,0 5 12 13 15 17
62,lookahead_LG_3,SOLUTION_FOUND,True,True,3,88,88,16,2,41938,0 5 12 13 15 17
63,greedy_L,FAILED_TO_FIND,False,False,4,182,186,18,0,342,1 3 4 5 7 15
63,greedy_LG,FAILED_TO_FIND,False,False,4,182,186,18,0,342,1 3 4 5 7 15
63,lookahead_L_2,FAILED_TO_FIND,False,False,5,185,186,18,0,9446,1 3 4 5 7 15
63,lookahead_LG_2,FAILED_TO_FIND,False,False,4,165,186,18,0,8744,1 3 4 5 7 15
63,lookahead_L_3,SOLUTION_FOUND,True,True,5,186,186,18,0,42218,1 3 4 5 7 15
63,lookahead_LG_3,SOLUTION_FOUND,True,True,5,186,186,16,2,42151,1 3 4 5 7 15
64,greedy_L,FAILED_TO_FIND,False,False,6,210,211,18,0,342,0 2 3 11 13 14
64,greedy_LG,FAILED_TO_FIND,False,False,6,210,211,18,0,342,0 2 3 11 13 14
64,lookahead_L_2,SOLUTION_FOUND,True,True,5,211,211,18,0,9101,0 2 3 11 13 14
64,lookahead_LG_2,SOLUTION_FOUND,True,True,5,211,211,17,1,8262,0 2 3 11 13 14
64,lookahead_L_3,SOLUTION_FOUND,True,True,5,211,211,18,0,41705,0 2 3 11 13 14
64,lookahead_LG_3,SOLUTION_FOUND,True,True,5,211,211,16,2,41606,0 2 3 11 13 14
65,greedy_L,FAILED_TO_FIND,False,False,4,147,149,18,0,342,1 2 4 6 15 16
65,greedy_LG,FAILED_TO_FIND,False,False,4,147,149,18,0,342,1 2 4 6 15 16
65,lookahead_L_2,SOLUTION_FOUND,True,True,5,149,149,18,0,9105,1 2 4 6 15 16
65,lookahead_LG_2,SOLUTION_FOUND,True,True,5,149,149,17,1,7824,1 2 4 6 15 16
65,lookahead_L_3,SOLUTION_FOUND,True,True,5,149,149,18,0,41794,1 2 4 6 15 16
65,lookahead_LG_3,SOLUTION_FOUND,True,True,5,149,149,16,2,41695,1 2 4 6 15 16
66,greedy_L,SOLUTION_FOUND,True,True,4,156,156,4,0,131,5 7 11 13 14 17
66,greedy_LG,SOLUTION_FOUND,True,True,4,156,156,4,14,131,5 7 11 13 14 17
66,lookahead_L_2,SOLUTION_FOUND,True,True,4,156,156,18,0,9046,5 7 11 13 14 17
66,lookahead_LG_2,SOLUTION_FOUND,True,True,4,156,156,17,1,8599,5 7 11 13 14 17
66,lookahead_L_3,SOLUTION_FOUND,True,True,4,156,156,18,0,41450,5 7 11 13 14 17
66,lookahead_LG_3,SOLUTION_FOUND,True,True,4,156,156,16,2,41361,5 7 11 13 14 17
67,greedy_L,SOLUTION_FOUND,True,True,4,147,147,4,0,131,1 2 5 10 14 17
67,greedy_LG,SOLUTION_FOUND,True,True,4,147,147,4,14,131,1 2 5 10 14 17
67,lookahead_L_2,SOLUTION_FOUND,True,True,4,147,147,18,0,9056,1 2 5 10 14 17
67,lookahead_LG_2,SOLUTION_FOUND,True,True,4,147,147,17,1,8165,1 2 5 10 14 17
67,lookahead_L_3,SOLUTION_FOUND,True,True,4,147,147,18,0,41728,1 2 5 10 14 17
67,lookahead_LG_3,SOLUTION_FOUND,True,True,4,147,147,16,2,41587,1 2 5 10 14 17
68,greedy_L,FAILED_TO_FIND,False,False,4,151,157,18,0,342,1 3 5 7 8 11
68,greedy_LG,FAILED_TO_FIND,False,False,4,151,157,18,0,342,1 3 5 7 8 11
68,lookahead_L_2,SOLUTION_FOUND,True,True,4,157,157,18,0,9052,1 3 5 7 8 11
68,lookahead_LG_2,SOLUTION_FOUND,True,True,4,157,157,17,1,7991,1 3 5 7 8 11
68,lookahead_L_3,SOLUTION_FOUND,True,True,4,157,157,18,0,42318,1 3 5 7 8 11
68,lookahead_LG_3,SOLUTION_FOUND,True,True,4,157,157,16,2,42219,1 3 5 7 8 11
69,greedy_L,SOLUTION_FOUND,True,True,5,130,130,5,0,159,1 4 6 13 14 17
69,greedy_LG,SOLUTION_FOUND,True,True,5,130,130,5,13,159,1 4 6 13 14 17
69,lookahead_L_2,SOLUTION_FOUND,True,True,4,130,130,18,0,8432,1 4 6 13 14 17
69,lookahead_LG_2,SOLUTION_FOUND,True,True,4,130,130,17,1,8201,1 4 6 13 14 17
69,lookahead_L_3,SOLUTION_FOUND,True,True,4,130,130,18,0,41045,1 4 6 13 14 17
69,lookahead_LG_3,SOLUTION_FOUND,True,True,4,130,130,16,2,40971,1 4 6 13 14 17
70,greedy_L,FAILED_TO_FIND,False,False,4,165,169,18,0,342,2 4 6 10 12 17
70,greedy_LG,FAILED_TO_FIND,False,False,4,165,169,18,0,342,2 4 6 10 12 17
70,lookahead_L_2,SOLUTION_FOUND,True,True,5,169,169,18,0,9097,2 4 6 10 12 17
70,lookahead_LG_2,SOLUTION_FOUND,True,True,5,169,169,17,1,7918,2 4 6 10 12 17
70,lookahead_L_3,SOLUTION_FOUND,True,True,5,169,169,18,0,42393,2 4 6 10 12 17
70,lookahead_LG_3,SOLUTION_FOUND,True,True,5,169,169,16,2,42252,2 4 6 10 12 17
71,greedy_L,SOLUTION_FOUND,True,True,4,102,102,4,0,131,2 5 11 12 14 16
71,greedy_LG,SOLUTION_FOUND,True,True,4,102,102,4,14,131,2 5 11 12 14 16
71,lookahead_L_2,SOLUTION_FOUND,True,True,3,102,102,18,0,8409,2 5 11 12 14 16
71,lookahead_LG_2,SOLUTION_FOUND,True,True,3,102,102,17,1,6878,2 5 11 12 14 16
71,lookahead_L_3,SOLUTION_FOUND,True,True,3,102,102,18,0,40486,2 5 11 12 14 16
71,lookahead_LG_3,SOLUTION_FOUND,True,True,3,102,102,16,2,40353,2 5 11 12 14 16
72,greedy_L,FAILED_TO_FIND,False,False,6,204,206,18,0,342,0 4 7 10 11 12
72,greedy_LG,FAILED_TO_FIND,False,False,6,204,206,18,0,342,0 4 7 10 11 12
72,lookahead_L_2,SOLUTION_FOUND,True,True,5,206,206,18,0,8765,0 4 7 10 11 12
72,lookahead_LG_2,SOLUTION_FOUND,True,True,5,206,206,17,1,8576,0 4 7 10 11 12
72,lookahead_L_3,SOLUTION_FOUND,True,True,5,206,206,18,0,41775,0 4 7 10 11 12
72,lookahead_LG_3,SOLUTION_FOUND,True,True,5,206,206,16,2,41600,0 4 7 10 11 12
73,greedy_L,FAILED_TO_FIND,False,False,5,131,133,18,0,342,0 5 6 8 13 17
73,greedy_LG,FAILED_TO_FIND,False,False,5,131,133,18,0,342,0 5 6 8 13 17
73,lookahead_L_2,SOLUTION_FOUND,True,True,4,133,133,18,0,9056,0 5 6 8 13 17
73,lookahead_LG_2,SOLUTION_FOUND,True,True,4,133,133,17,1,7977,0 5 6 8 13 17
73,lookahead_L_3,SOLUTION_FOUND,True,True,4,133,133,18,0,41633,0 5 6 8 13 17
73,lookahead_LG_3,SOLUTION_FOUND,True,True,4,133,133,16,2,41354,0 5 6 8 13 17
74,greedy_L,FAILED_TO_FIND,False,False,4,137,141,18,0,342,0 1 2 3 13 16
74,greedy_LG,FAILED_TO_FIND,False,False,4,137,141,18,0,342,0 1 2 3 13 16
74,lookahead_L_2,SOLUTION_FOUND,True,True,5,141,141,18,0,8800,0 1 2 3 13 16
74,lookahead_LG_2,SOLUTION_FOUND,True,True,5,141,141,17,1,7757,0 1 2 3 13 16
74,lookahead_L_3,SOLUTION_FOUND,True,True,5,141,141,18,0,40889,0 1 2 3 13 16
74,lookahead_LG_3,SOLUTION_FOUND,True,True,5,141,141,16,2,40806,0 1 2 3 13 16
75,greedy_L,SOLUTION_FOUND,True,True,5,225,225,5,0,159,2 7 8 10 11 16
75,greedy_LG,SOLUTION_FOUND,True,True,5,225,225,5,13,159,2 7 8 10 11 16
75,lookahead_L_2,SOLUTION_FOUND,True,True,5,225,225,18,0,9107,2 7 8 10 11 16
75,lookahead_LG_2,SOLUTION_FOUND,True,True,5,225,225,17,1,9094,2 7 8 10 11 16
75,lookahead_L_3,SOLUTION_FOUND,True,True,5,225,225,18,0,42363,2 7 8 10 11 16
75,lookahead_LG_3,SOLUTION_FOUND,True,True,5,225,225,16,2,42188,2 7 8 10 11 16
76,greedy_L,SOLUTION_FOUND,True,True,5,165,165,5,0,159,0 1 6 9 10 17
76,greedy_LG,SOLUTION_FOUND,True,True,5,165,165,5,13,159,0 1 6 9 10 17
76,lookahead_L_2,SOLUTION_FOUND,True,True,5,165,165,18,0,9103,0 1 6 9 10 17
76,lookahead_LG_2,SOLUTION_FOUND,True,True,5,165,165,17,1,9098,0 1 6 9 10 17
76,lookahead_L_3,SOLUTION_FOUND,True,True,5,165,165,18,0,42307,0 1 6 9 10 17
76,lookahead_LG_3,SOLUTION_FOUND,True,True,5,165,165,16,2,42200,0 1 6 9 10 17
77,greedy_L,FAILED_TO_FIND,False,False,5,146,151,18,0,342,0 3 5 12 13 15
77,greedy_LG,FAILED_TO_FIND,False,False,5,146,151,18,0,342,0 3 5 12 13 15
77,lookahead_L_2,SOLUTION_FOUND,True,True,5,151,151,18,0,9014,0 3 5 12 13 15
77,lookahead_LG_2,SOLUTION_FOUND,True,True,5,151,151,17,1,7527,0 3 5 12 13 15
77,lookahead_L_3,SOLUTION_FOUND,True,True,5,151,151,18,0,41690,0 3 5 12 13 15
77,lookahead_LG_3,SOLUTION_FOUND,True,True,5,151,151,16,2,41557,0 3 5 12 13 15
78,greedy_L,FAILED_TO_FIND,False,False,3,145,146,18,0,342,0 2 5 7 11 12
78,greedy_LG,FAILED_TO_FIND,False,False,3,145,146,18,0,342,0 2 5 7 11 12
78,lookahead_L_2,SOLUTION_FOUND,True,True,4,146,146,18,0,9050,0 2 5 7 11 12
78,lookahead_LG_2,SOLUTION_FOUND,True,True,4,146,146,17,1,7803,0 2 5 7 11 12
78,lookahead_L_3,SOLUTION_FOUND,True,True,4,146,146,18,0,42204,0 2 5 7 11 12
78,lookahead_LG_3,SOLUTION_FOUND,True,True,4,146,146,16,2,42113,0 2 5 7 11 12
79,greedy_L,SOLUTION_FOUND,True,True,3,110,110,3,0,100,5 7 9 11 13 15
79,greedy_LG,SOLUTION_FOUND,True,True,3,110,110,3,15,100,5 7 9 11 13 15
79,lookahead_L_2,SOLUTION_FOUND,True,True,3,110,110,18,0,8986,5 7 9 11 13 15
79,lookahead_LG_2,SOLUTION_FOUND,True,True,3,110,110,17,1,8973,5 7 9 11 13 15
79,lookahead_L_3,SOLUTION_FOUND,True,True,3,110,110,18,0,42038,5 7 9 11 13 15
79,lookahead_LG_3,SOLUTION_FOUND,True,True,3,110,110,16,2,41863,5 7 9 11 13 15
80,greedy_L,SOLUTION_FOUND,True,True,4,161,161,4,0,130,0 2 5 7 9 17
80,greedy_LG,SOLUTION_FOUND,True,True,4,161,161,4,14,130,0 2 5 7 9 17
80,lookahead_L_2,SOLUTION_FOUND,True,True,4,161,161,18,0,8992,0 2 5 7 9 17
80,lookahead_LG_2,SOLUTION_FOUND,True,True,4,161,161,17,1,8979,0 2 5 7 9 17
80,lookahead_L_3,SOLUTION_FOUND,True,True,4,161,161,18,0,42087,0 2 5 7 9 17
80,lookahead_LG_3,SOLUTION_FOUND,True,True,4,161,161,16,2,41860,0 2 5 7 9 17
81,greedy_L,SOLUTION_FOUND,True,True,4,128,128,4,0,131,2 7 9 10 11 15
81,greedy_LG,SOLUTION_FOUND,True,True,4,128,128,4,14,131,2 7 9 10 11 15
81,lookahead_L_2,SOLUTION_FOUND,True,True,3,128,128,18,0,8998,2 7 9 10 11 15
81,lookahead_LG_2,SOLUTION_FOUND,True,True,3,128,128,17,1,8699,2 7 9 10 11 15
81,lookahead_L_3,SOLUTION_FOUND,True,True,3,128,128,18,0,42071,2 7 9 10 11 15
81,lookahead_LG_3,SOLUTION_FOUND,True,True,3,128,128,16,2,41988,2 7 9 10 11 15
