case,seed,oracle_sat,greedy_L_status,greedy_L_success,greedy_L_steps,greedy_L_decision_steps,greedy_L_forced_steps,greedy_L_score_calls,greedy_LG_status,greedy_LG_success,greedy_LG_steps,greedy_LG_decision_steps,greedy_LG_forced_steps,greedy_LG_score_calls,lookahead_L_2_status,lookahead_L_2_success,lookahead_L_2_steps,lookahead_L_2_decision_steps,lookahead_L_2_forced_steps,lookahead_L_2_score_calls,lookahead_LG_2_status,lookahead_LG_2_success,lookahead_LG_2_steps,lookahead_LG_2_decision_steps,lookahead_LG_2_forced_steps,lookahead_LG_2_score_calls,lookahead_L_3_status,lookahead_L_3_success,lookahead_L_3_steps,lookahead_L_3_decision_steps,lookahead_L_3_forced_steps,lookahead_L_3_score_calls,lookahead_LG_3_status,lookahead_LG_3_success,lookahead_LG_3_steps,lookahead_LG_3_decision_steps,lookahead_LG_3_forced_steps,lookahead_LG_3_score_calls
10,53,True,FAILED_TO_FIND,False,30,5,0,65,SAT_FOUND,True,1,1,5,42,FAILED_TO_FIND,False,30,5,0,1042,SAT_FOUND,True,2,2,4,489,FAILED_TO_FIND,False,30,6,0,3247,SAT_FOUND,True,2,2,4,1253
11,54,True,SAT_FOUND,True,6,6,0,88,SAT_FOUND,True,1,1,5,42,SAT_FOUND,True,6,6,0,1126,SAT_FOUND,True,1,1,5,276,SAT_FOUND,True,6,6,0,3110,SAT_FOUND,True,1,1,5,583
12,55,True,FAILED_TO_FIND,False,30,7,0,88,SAT_FOUND,True,1,1,5,42,SAT_FOUND,True,6,6,0,1116,SAT_FOUND,True,1,1,5,390,SAT_FOUND,True,6,6,0,3489,SAT_FOUND,True,1,1,5,1182
13,56,True,FAILED_TO_FIND,False,30,4,0,63,SAT_FOUND,True,1,1,6,42,SAT_FOUND,True,6,6,0,1412,SAT_FOUND,True,3,3,4,478,SAT_FOUND,True,6,6,0,4471,SAT_FOUND,True,3,3,4,1258
14,57,True,FAILED_TO_FIND,False,30,5,0,84,SAT_FOUND,True,1,1,5,42,SAT_FOUND,True,6,6,0,1347,SAT_FOUND,True,1,1,5,339,SAT_FOUND,True,6,6,0,4190,SAT_FOUND,True,1,1,5,902
15,58,True,FAILED_TO_FIND,False,30,6,0,73,SAT_FOUND,True,1,1,5,42,SAT_FOUND,True,6,6,0,1239,SAT_FOUND,True,2,2,4,484,SAT_FOUND,True,6,6,0,4077,SAT_FOUND,True,2,2,4,1105
16,59,True,FAILED_TO_FIND,False,30,6,0,73,SAT_FOUND,True,1,1,5,42,SAT_FOUND,True,6,6,0,1777,SAT_FOUND,True,2,2,4,741,SAT_FOUND,True,6,6,0,6135,SAT_FOUND,True,2,2,4,2297
17,60,True,FAILED_TO_FIND,False,30,4,0,63,SAT_FOUND,True,1,1,5,42,SAT_FOUND,True,6,6,0,1017,SAT_FOUND,True,2,2,4,342,SAT_FOUND,True,6,6,0,2989,SAT_FOUND,True,2,2,4,824
18,61,True,FAILED_TO_FIND,False,30,5,0,78,SAT_FOUND,True,1,1,5,42,SAT_FOUND,True,6,6,0,1338,SAT_FOUND,True,1,1,5,379,SAT_FOUND,True,6,6,0,4396,SAT_FOUND,True,1,1,5,1231
19,62,True,FAILED_TO_FIND,False,30,5,0,75,SAT_FOUND,True,1,1,5,42,SAT_FOUND,True,6,6,0,1474,SAT_FOUND,True,1,1,5,395,SAT_FOUND,True,6,6,0,4615,SAT_FOUND,True,1,1,5,919
20,63,True,FAILED_TO_FIND,False,30,6,0,76,SAT_FOUND,True,1,1,5,42,SAT_FOUND,True,6,6,0,1113,SAT_FOUND,True,1,1,5,292,SAT_FOUND,True,6,6,0,3218,SAT_FOUND,True,1,1,5,736
21,64,True,FAILED_TO_FIND,False,30,6,0,79,SAT_FOUND,True,1,1,5,42,SAT_FOUND,True,6,6,0,1444,SAT_FOUND,True,2,2,4,541,SAT_FOUND,True,6,6,0,5172,SAT_FOUND,True,2,2,4,1738
22,65,True,FAILED_TO_FIND,False,30,5,0,69,SAT_FOUND,True,1,1,5,42,FAILED_TO_FIND,False,30,5,0,862,SAT_FOUND,True,2,2,4,338,SAT_FOUND,True,6,6,0,2907,SAT_FOUND,True,2,2,4,848
23,66,True,FAILED_TO_FIND,False,30,5,0,68,SAT_FOUND,True,1,1,5,42,FAILED_TO_FIND,False,30,5,0,1132,SAT_FOUND,True,1,1,5,398,FAILED_TO_FIND,False,30,7,0,4784,SAT_FOUND,True,1,1,5,1192
24,67,True,FAILED_TO_FIND,False,30,5,0,67,SAT_FOUND,True,1,1,5,42,SAT_FOUND,True,6,6,0,981,SAT_FOUND,True,2,2,4,399,SAT_FOUND,True,6,6,0,2899,SAT_FOUND,True,2,2,4,884
25,68,True,FAILED_TO_FIND,False,30,5,0,77,SAT_FOUND,True,1,1,5,42,FAILED_TO_FIND,False,30,6,0,1164,SAT_FOUND,True,1,1,5,448,SAT_FOUND,True,6,6,0,4666,SAT_FOUND,True,1,1,5,1236
26,69,True,FAILED_TO_FIND,False,30,5,0,85,SAT_FOUND,True,1,1,5,42,SAT_FOUND,True,6,6,0,1284,SAT_FOUND,True,2,2,4,519,SAT_FOUND,True,6,6,0,4392,SAT_FOUND,True,2,2,4,1478
27,70,True,FAILED_TO_FIND,False,30,5,0,77,SAT_FOUND,True,1,1,5,42,SAT_FOUND,True,6,6,0,1409,SAT_FOUND,True,1,1,5,481,SAT_FOUND,True,6,6,0,5206,SAT_FOUND,True,1,1,5,1521
28,71,True,FAILED_TO_FIND,False,30,5,0,66,SAT_FOUND,True,1,1,5,42,SAT_FOUND,True,6,6,0,1062,SAT_FOUND,True,2,2,4,337,SAT_FOUND,True,6,6,0,3427,SAT_FOUND,True,2,2,4,747
29,72,True,FAILED_TO_FIND,False,30,6,0,76,SAT_FOUND,True,1,1,5,42,SAT_FOUND,True,6,6,0,1190,SAT_FOUND,True,1,1,5,292,SAT_FOUND,True,6,6,0,3242,SAT_FOUND,True,1,1,5,704
